epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2923509180545807,2.0812177658081055,0.001,0.16882440447807312,3.851304292678833
1,0.38752281665802,1.740208625793457,0.001,0.25119471549987793,2.342844247817993
2,0.42560893297195435,1.6077704429626465,0.001,0.2730906307697296,1.9452139139175415
3,0.4618704319000244,1.4939908981323242,0.001,0.4268833100795746,1.4961278438568115
4,0.4895878732204437,1.4146512746810913,0.001,0.35719871520996094,1.8545070886611938
5,0.5047643780708313,1.3692021369934082,0.001,0.43861326575279236,1.52859628200531
6,0.512005090713501,1.3450630903244019,0.001,0.4633764922618866,1.4366521835327148
7,0.5194196105003357,1.3296973705291748,0.001,0.5339299440383911,1.2600123882293701
8,0.5239088535308838,1.3119438886642456,0.001,0.31914153695106506,1.8796474933624268
9,0.5288035273551941,1.2949050664901733,0.001,0.46189936995506287,1.4566385746002197
10,0.5326845645904541,1.2848955392837524,0.001,0.41636979579925537,1.8883256912231445
11,0.5415761470794678,1.2648752927780151,0.001,0.5120340585708618,1.3158624172210693
12,0.5462681651115417,1.2540768384933472,0.001,0.4123729169368744,1.8601503372192383
13,0.5542908310890198,1.2382524013519287,0.001,0.45677295327186584,1.443831443786621
14,0.5547832250595093,1.2384305000305176,0.001,0.5226344466209412,1.2948192358016968
15,0.5747675895690918,1.1844123601913452,0.0005,0.5685116052627563,1.1779941320419312
16,0.5853390097618103,1.1590291261672974,0.0005,0.5227213501930237,1.2881799936294556
17,0.589712381362915,1.143486738204956,0.0005,0.5129029750823975,1.2978965044021606
18,0.5935354828834534,1.1319094896316528,0.0005,0.5930141806602478,1.1189470291137695
19,0.5973296165466309,1.1259971857070923,0.0005,0.48483794927597046,1.5596328973770142
20,0.6023112535476685,1.110148310661316,0.0005,0.598922610282898,1.0933865308761597
21,0.6027746200561523,1.1091008186340332,0.0005,0.5420106053352356,1.3047583103179932
22,0.6070032119750977,1.0951838493347168,0.0005,0.4565991759300232,1.7543452978134155
23,0.6121585965156555,1.0920543670654297,0.0005,0.5113389492034912,1.5791856050491333
24,0.6094940304756165,1.0888361930847168,0.0005,0.6083934307098389,1.1006810665130615
25,0.6153734922409058,1.0813047885894775,0.0005,0.5500912070274353,1.2215416431427002
26,0.6143887639045715,1.082722544670105,0.0005,0.4816230833530426,1.7863545417785645
27,0.6156920790672302,1.0783939361572266,0.0005,0.4383525848388672,2.3854849338531494
28,0.6331566572189331,1.0350098609924316,0.00025,0.5699018239974976,1.2772207260131836
29,0.6403394341468811,1.0164276361465454,0.00025,0.6231644749641418,1.0433720350265503
30,0.6435832977294922,1.0131171941757202,0.00025,0.5749413371086121,1.1555300951004028
31,0.6489124298095703,0.9996473789215088,0.00025,0.5764184594154358,1.2834960222244263
32,0.6506502032279968,0.9938148260116577,0.00025,0.6003996729850769,1.181201696395874
33,0.6500999331474304,0.9916556477546692,0.00025,0.6428881883621216,0.9803425669670105
34,0.6529961824417114,0.9878683090209961,0.00025,0.6454079151153564,0.9733849763870239
35,0.6528224349021912,0.9864801168441772,0.00025,0.5558258891105652,1.3907164335250854
36,0.6558635234832764,0.9765546917915344,0.00025,0.5968372821807861,1.190247654914856
37,0.6589046120643616,0.9717371463775635,0.00025,0.6302024722099304,1.0090612173080444
38,0.6609609723091125,0.9675610661506653,0.00025,0.6268137693405151,1.030758261680603
39,0.6610478758811951,0.9642096161842346,0.00025,0.5523503422737122,1.2265510559082031
40,0.6630752682685852,0.9624527096748352,0.00025,0.649144172668457,0.9886583089828491
41,0.6656240224838257,0.9572053551673889,0.00025,0.6567034721374512,0.9508907794952393
42,0.6682596206665039,0.9518607258796692,0.00025,0.6487097144126892,0.9789242148399353
43,0.6681437492370605,0.9509516358375549,0.00025,0.6467981338500977,0.9821325540542603
44,0.6699104905128479,0.9521517753601074,0.00025,0.6437570452690125,0.990898847579956
45,0.6706635355949402,0.9492102861404419,0.00025,0.6514032483100891,0.9628581404685974
46,0.6710400581359863,0.9433026313781738,0.00025,0.6399339437484741,0.983801543712616
47,0.6713586449623108,0.9417088627815247,0.00025,0.6618298888206482,0.938639223575592
48,0.6730964183807373,0.9353398084640503,0.00025,0.6568772196769714,0.9539751410484314
49,0.6772670745849609,0.929202139377594,0.00025,0.6342862248420715,1.0018597841262817
50,0.6759058237075806,0.9332607984542847,0.00025,0.5533930063247681,1.4160085916519165
51,0.6755003333091736,0.9319416880607605,0.00025,0.5884959697723389,1.1602783203125
52,0.6801344156265259,0.9269738793373108,0.00025,0.569814920425415,1.2783881425857544
53,0.676861584186554,0.9302939772605896,0.00025,0.6273351311683655,1.1208209991455078
54,0.6788600087165833,0.9249867796897888,0.00025,0.6580067873001099,0.946212887763977
55,0.6935442090034485,0.8955239653587341,0.000125,0.6529672145843506,0.9729213118553162
56,0.6949923038482666,0.8868945240974426,0.000125,0.6350681781768799,1.0659185647964478
57,0.7024068236351013,0.8727236390113831,0.000125,0.6582674384117126,0.9371439814567566
58,0.6988443732261658,0.8739215731620789,0.000125,0.6634807586669922,0.9415576457977295
59,0.6980044841766357,0.871730625629425,0.000125,0.6797289252281189,0.8999539613723755
60,0.7017117142677307,0.869225025177002,0.000125,0.610652506351471,1.0744879245758057
61,0.7058823704719543,0.8668563961982727,0.000125,0.6667824983596802,0.9416954517364502
62,0.7025516033172607,0.8629728555679321,0.000125,0.6406290531158447,0.9923259019851685
63,0.7052741050720215,0.8612080812454224,0.000125,0.670692503452301,0.9210991859436035
64,0.7089813947677612,0.8576081991195679,0.000125,0.6687809824943542,0.9563637375831604
65,0.7035074234008789,0.8606913089752197,0.000125,0.6792075634002686,0.9006091952323914
66,0.7062009572982788,0.8582764863967896,0.000125,0.6511425971984863,0.9634519219398499
67,0.7186260223388672,0.828474760055542,6.25e-05,0.6859849095344543,0.885004460811615
68,0.7173516154289246,0.8272915482521057,6.25e-05,0.6865931153297424,0.8831071257591248
69,0.7172937393188477,0.8255795240402222,6.25e-05,0.6857241988182068,0.8896015882492065
70,0.7220146656036377,0.8243439793586731,6.25e-05,0.6792075634002686,0.9280007481575012
71,0.7202768921852112,0.8226947784423828,6.25e-05,0.6832044720649719,0.8923201560974121
72,0.7172937393188477,0.8264646530151367,6.25e-05,0.6847684383392334,0.8827888369560242
73,0.7220436334609985,0.8160215020179749,6.25e-05,0.6892866492271423,0.8807126879692078
74,0.720132052898407,0.8183788061141968,6.25e-05,0.6703449487686157,0.9237862229347229
75,0.720943033695221,0.8159337639808655,6.25e-05,0.6869406700134277,0.8803883790969849
76,0.7234628200531006,0.8138720989227295,6.25e-05,0.6888521909713745,0.877034068107605
77,0.7249398827552795,0.8093275427818298,6.25e-05,0.667216956615448,0.9789453148841858
78,0.7227387428283691,0.8147931098937988,6.25e-05,0.680337131023407,0.8947283029556274
79,0.7242447733879089,0.8092798590660095,6.25e-05,0.6845077872276306,0.8951802253723145
80,0.7242737412452698,0.8115735650062561,6.25e-05,0.6859849095344543,0.882247805595398
81,0.7287629842758179,0.8048362731933594,6.25e-05,0.6847684383392334,0.8775200247764587
82,0.7255191802978516,0.8096235394477844,6.25e-05,0.6820749044418335,0.8903873562812805
83,0.7289657592773438,0.8043784499168396,6.25e-05,0.6861586570739746,0.8795414566993713
84,0.730355978012085,0.7924282550811768,3.125e-05,0.6904162168502808,0.8891154527664185
85,0.7314275503158569,0.7905282974243164,3.125e-05,0.6898948550224304,0.8684461712837219
86,0.733252227306366,0.7879322171211243,3.125e-05,0.6950212717056274,0.876722514629364
87,0.7301821708679199,0.7893428802490234,3.125e-05,0.6884177327156067,0.8968558311462402
88,0.7331364154815674,0.7865813970565796,3.125e-05,0.6870275139808655,0.8752809166908264
89,0.7355113625526428,0.785011351108551,3.125e-05,0.6945868730545044,0.8788801431655884
90,0.7347872853279114,0.7819530963897705,3.125e-05,0.6904162168502808,0.8731867074966431
91,0.7341501116752625,0.7866731882095337,3.125e-05,0.6842471361160278,0.8927066922187805
92,0.73490309715271,0.7815826535224915,3.125e-05,0.6878964304924011,0.8772869110107422
93,0.7376835346221924,0.7760559320449829,1.5625e-05,0.6895473003387451,0.8733276724815369
94,0.7355692386627197,0.7744148969650269,1.5625e-05,0.6925015449523926,0.8708366751670837
95,0.7361485362052917,0.7807857394218445,1.5625e-05,0.6931966543197632,0.8821874856948853
96,0.7373359799385071,0.7769960761070251,1.5625e-05,0.6902424097061157,0.8714891672134399
97,0.7404929399490356,0.7736444473266602,1.5625e-05,0.6944130659103394,0.866772472858429
98,0.7417962551116943,0.7681846022605896,1.5625e-05,0.6936310529708862,0.8653285503387451
99,0.7396530508995056,0.7712454199790955,1.5625e-05,0.6834651231765747,0.8892685770988464
